Protein	FilterMatch	RegEx
B6UQW8_9BACT	Nitrite reductase	nitrite reductase
B6UQW9_9BACT	Nitrite reductase	nitrite reductase
B6UQX0_9BACT	Nitrite reductase	nitrite reductase
B6UQX1_9BACT	Nitrite reductase	nitrite reductase
B6UQX2_9BACT	Nitrite reductase	nitrite reductase
B6UQX3_9BACT	Nitrite reductase	nitrite reductase
B6UQX4_9BACT	Nitrite reductase	nitrite reductase
B6UQX5_9BACT	Nitrite reductase	nitrite reductase
B6UQX6_9BACT	Nitrite reductase	nitrite reductase
B6UQX7_9BACT	Nitrite reductase	nitrite reductase
B6UQX8_9BACT	Nitrite reductase	nitrite reductase
B6UQX9_9BACT	Nitrite reductase	nitrite reductase
B6UQY0_9BACT	Nitrite reductase	nitrite reductase
B6UQY1_9BACT	Nitrite reductase	nitrite reductase
B6UQY2_9BACT	Nitrite reductase	nitrite reductase
B6UQY3_9BACT	Nitrite reductase	nitrite reductase
B6UQY4_9BACT	Nitrite reductase	nitrite reductase
B6UQY5_9BACT	Nitrite reductase	nitrite reductase
B6UQY7_9BACT	Nitrite reductase	nitrite reductase
B6UQY8_9BACT	Nitrite reductase	nitrite reductase
B6UQY9_9BACT	Nitrite reductase	nitrite reductase
B6UQZ1_9BACT	Nitrite reductase	nitrite reductase
B6UQZ3_9BACT	Nitrite reductase	nitrite reductase
B6UQZ4_9BACT	Nitrite reductase	nitrite reductase
B6UQZ5_9BACT	Nitrite reductase	nitrite reductase
B6UQZ6_9BACT	Nitrite reductase	nitrite reductase
B6UQZ8_9BACT	Nitrite reductase	nitrite reductase
B6UQZ9_9BACT	Nitrite reductase	nitrite reductase
B6UR00_9BACT	Nitrite reductase	nitrite reductase
B6UR01_9BACT	Nitrite reductase	nitrite reductase
B6UR02_9BACT	Nitrite reductase	nitrite reductase
B6UR03_9BACT	Nitrite reductase	nitrite reductase
B6UR04_9BACT	Nitrite reductase	nitrite reductase
B6UR06_9BACT	Nitrite reductase	nitrite reductase
B6UR07_9BACT	Nitrite reductase	nitrite reductase
B6UR08_9BACT	Nitrite reductase	nitrite reductase
B6UR09_9BACT	Nitrite reductase	nitrite reductase
B6UR10_9BACT	Nitrite reductase	nitrite reductase
B6UR12_9BACT	Nitrite reductase	nitrite reductase
B6UR13_9BACT	Nitrite reductase	nitrite reductase
B6UR14_9BACT	Nitrite reductase	nitrite reductase
B6UR15_9BACT	Nitrite reductase	nitrite reductase
B6UR16_9BACT	Nitrite reductase	nitrite reductase
B6UR17_9BACT	Nitrite reductase	nitrite reductase
B6UR18_9BACT	Nitrite reductase	nitrite reductase
B6UR19_9BACT	Nitrite reductase	nitrite reductase
B6UR20_9BACT	Nitrite reductase	nitrite reductase
B6UR22_9BACT	Nitrite reductase	nitrite reductase
B6UR23_9BACT	Nitrite reductase	nitrite reductase
B6UR24_9BACT	Nitrite reductase	nitrite reductase
B6UR25_9BACT	Nitrite reductase	nitrite reductase
B6UR26_9BACT	Nitrite reductase	nitrite reductase
B6UR27_9BACT	Nitrite reductase	nitrite reductase
B6UR28_9BACT	Nitrite reductase	nitrite reductase
B6UR29_9BACT	Nitrite reductase	nitrite reductase
B6UR30_9BACT	Nitrite reductase	nitrite reductase
B6UR31_9BACT	Nitrite reductase	nitrite reductase
B6UR32_9BACT	Nitrite reductase	nitrite reductase
B6WUR9_9DELT	Nitrite reductase	nitrite reductase
B6XK74_9ENTR	nitrite reductase	nitrite reductase
B6XK76_9ENTR	nitrite reductase	nitrite reductase
B6XK77_9ENTR	nitrite reductase	nitrite reductase
B6XK78_9ENTR	nitrite reductase	nitrite reductase
B6XK79_9ENTR	nitrite reductase	nitrite reductase
B6ZIW6_9BACT	Nitrite reductase	nitrite reductase
B6ZIW7_9BACT	Nitrite reductase	nitrite reductase
B6ZIW8_9BACT	Nitrite reductase	nitrite reductase
B6ZIW9_9BACT	Nitrite reductase	nitrite reductase
B6ZIX0_9BACT	Nitrite reductase	nitrite reductase
B6ZIX1_9BACT	Nitrite reductase	nitrite reductase
B6ZIX2_9BACT	Nitrite reductase	nitrite reductase
B6ZIX3_9BACT	Nitrite reductase	nitrite reductase
B6ZIX4_9BACT	Nitrite reductase	nitrite reductase
B6ZIX5_9BACT	Nitrite reductase	nitrite reductase
B6ZIX6_9BACT	Nitrite reductase	nitrite reductase
B6ZIX7_9BACT	Nitrite reductase	nitrite reductase
B6ZIX8_9BACT	Nitrite reductase	nitrite reductase
B6ZIX9_9BACT	Nitrite reductase	nitrite reductase
B6ZIY0_9BACT	Nitrite reductase	nitrite reductase
B6ZIY1_9BACT	Nitrite reductase	nitrite reductase
B6ZKN6_9BACT	nitrite reductase	nitrite reductase
B6ZKN7_9BACT	nitrite reductase	nitrite reductase
B6ZKN8_9BACT	nitrite reductase	nitrite reductase
B6ZKN9_9BACT	nitrite reductase	nitrite reductase
B6ZKP0_9BACT	nitrite reductase	nitrite reductase
B6ZKP1_9BACT	nitrite reductase	nitrite reductase
B6ZKP2_9BACT	nitrite reductase	nitrite reductase
B6ZKP3_9BACT	nitrite reductase	nitrite reductase
B6ZKP4_9BACT	nitrite reductase	nitrite reductase
B6ZKP5_9BACT	nitrite reductase	nitrite reductase
B6ZKP6_9BACT	nitrite reductase	nitrite reductase
B6ZKP7_9BACT	nitrite reductase	nitrite reductase
B6ZKP8_9BACT	nitrite reductase	nitrite reductase
B6ZKP9_9BACT	nitrite reductase	nitrite reductase
B6ZKQ0_9BACT	nitrite reductase	nitrite reductase
B6ZKQ1_9BACT	nitrite reductase	nitrite reductase
B6ZKQ2_9BACT	nitrite reductase	nitrite reductase
B6ZKQ3_9BACT	nitrite reductase	nitrite reductase
B6ZKQ4_9BACT	nitrite reductase	nitrite reductase
B6ZKQ5_9BACT	nitrite reductase	nitrite reductase
B6ZKQ6_9BACT	nitrite reductase	nitrite reductase
B6ZKQ7_9BACT	nitrite reductase	nitrite reductase
B6ZKQ8_9BACT	nitrite reductase	nitrite reductase
B6ZKQ9_9BACT	nitrite reductase	nitrite reductase
B6ZKR1_9BACT	nitrite reductase	nitrite reductase
B6ZKR2_9BACT	nitrite reductase	nitrite reductase
B6ZKR3_9BACT	nitrite reductase	nitrite reductase
B6ZKR4_9BACT	nitrite reductase	nitrite reductase
B6ZKR5_9BACT	nitrite reductase	nitrite reductase
B6ZKR6_9BACT	nitrite reductase	nitrite reductase
B6ZKS0_9BACT	nitrite reductase	nitrite reductase
B6ZKS1_9BACT	nitrite reductase	nitrite reductase
B6ZKS3_9BACT	nitrite reductase	nitrite reductase
B6ZKS4_9BACT	nitrite reductase	nitrite reductase
B6ZKS5_9BACT	nitrite reductase	nitrite reductase
B6ZKS6_9BACT	nitrite reductase	nitrite reductase
B6ZKS7_9BACT	nitrite reductase	nitrite reductase
B6ZKS8_9BACT	nitrite reductase	nitrite reductase
B6ZKS9_9BACT	nitrite reductase	nitrite reductase
B6ZKT0_9BACT	nitrite reductase	nitrite reductase
B6ZKT1_9BACT	nitrite reductase	nitrite reductase
B6ZKT2_9BACT	nitrite reductase	nitrite reductase
B6ZKT5_9BACT	nitrite reductase	nitrite reductase
B6ZKT6_9BACT	nitrite reductase	nitrite reductase
B6ZKT7_9BACT	nitrite reductase	nitrite reductase
B6ZKT8_9BACT	nitrite reductase	nitrite reductase
B6ZKT9_9BACT	nitrite reductase	nitrite reductase
B6ZKU1_9BACT	nitrite reductase	nitrite reductase
B6ZKU2_9BACT	nitrite reductase	nitrite reductase
B6ZKU3_9BACT	nitrite reductase	nitrite reductase
B6ZKU4_9BACT	nitrite reductase	nitrite reductase
B6ZKU6_9BACT	nitrite reductase	nitrite reductase
B6ZKU7_9BACT	nitrite reductase	nitrite reductase
B6ZKU9_9BACT	nitrite reductase	nitrite reductase
B6ZKV0_9BACT	nitrite reductase	nitrite reductase
B6ZKV2_9BACT	nitrite reductase	nitrite reductase
B6ZKV4_9BACT	nitrite reductase	nitrite reductase
B6ZKV6_9BACT	nitrite reductase	nitrite reductase
B6ZKV7_9BACT	nitrite reductase	nitrite reductase
B6ZKW3_9BACT	nitrite reductase	nitrite reductase
B6ZKW5_9BACT	nitrite reductase	nitrite reductase
B6ZKW6_9BACT	nitrite reductase	nitrite reductase
B6ZKW9_9BACT	nitrite reductase	nitrite reductase
B6ZKX0_9BACT	nitrite reductase	nitrite reductase
B6ZKX1_9BACT	nitrite reductase	nitrite reductase
B6ZKX2_9BACT	nitrite reductase	nitrite reductase
B6ZKX3_9BACT	nitrite reductase	nitrite reductase
B6ZKX4_9BACT	nitrite reductase	nitrite reductase
B6ZKX9_9BACT	nitrite reductase	nitrite reductase
B6ZKY2_9BACT	nitrite reductase	nitrite reductase
B6ZKY3_9BACT	nitrite reductase	nitrite reductase
B6ZKY5_9BACT	nitrite reductase	nitrite reductase
B6ZKY6_9BACT	nitrite reductase	nitrite reductase
B6ZKY8_9BACT	nitrite reductase	nitrite reductase
B6ZKY9_9BACT	nitrite reductase	nitrite reductase
B6ZKZ1_9BACT	nitrite reductase	nitrite reductase
B6ZKZ2_9BACT	nitrite reductase	nitrite reductase
B6ZKZ5_9BACT	nitrite reductase	nitrite reductase
B6ZKZ7_9BACT	nitrite reductase	nitrite reductase
B6ZKZ8_9BACT	nitrite reductase	nitrite reductase
B6ZKZ9_9BACT	nitrite reductase	nitrite reductase
B6ZL00_9BACT	nitrite reductase	nitrite reductase
B6ZL01_9BACT	nitrite reductase	nitrite reductase
B6ZL02_9BACT	nitrite reductase	nitrite reductase
B6ZL03_9BACT	nitrite reductase	nitrite reductase
B6ZL04_9BACT	nitrite reductase	nitrite reductase
B6ZL05_9BACT	nitrite reductase	nitrite reductase
B6ZL06_9BACT	nitrite reductase	nitrite reductase
B6ZL07_9BACT	nitrite reductase	nitrite reductase
B6ZL08_9BACT	nitrite reductase	nitrite reductase
B6ZL09_9BACT	nitrite reductase	nitrite reductase
B6ZL10_9BACT	nitrite reductase	nitrite reductase
B6ZL11_9BACT	nitrite reductase	nitrite reductase
B6ZL12_9BACT	nitrite reductase	nitrite reductase
B6ZL13_9BACT	nitrite reductase	nitrite reductase
B6ZL14_9BACT	nitrite reductase	nitrite reductase
B6ZL15_9BACT	nitrite reductase	nitrite reductase
B6ZL16_9BACT	nitrite reductase	nitrite reductase
B6ZL17_9BACT	nitrite reductase	nitrite reductase
B6ZL18_9BACT	nitrite reductase	nitrite reductase
B6ZL20_9BACT	nitrite reductase	nitrite reductase
B6ZL21_9BACT	nitrite reductase	nitrite reductase
B6ZL22_9BACT	nitrite reductase	nitrite reductase
B6ZL23_9BACT	nitrite reductase	nitrite reductase
B6ZL24_9BACT	nitrite reductase	nitrite reductase
B6ZL25_9BACT	nitrite reductase	nitrite reductase
B6ZL26_9BACT	nitrite reductase	nitrite reductase
B6ZL27_9BACT	nitrite reductase	nitrite reductase
B6ZL28_9BACT	nitrite reductase	nitrite reductase
B6ZL29_9BACT	nitrite reductase	nitrite reductase
B6ZL30_9BACT	nitrite reductase	nitrite reductase
B6ZL31_9BACT	nitrite reductase	nitrite reductase
B6ZL32_9BACT	nitrite reductase	nitrite reductase
B6ZL33_9BACT	nitrite reductase	nitrite reductase
B6ZL34_9BACT	nitrite reductase	nitrite reductase
B6ZL35_9BACT	nitrite reductase	nitrite reductase
B6ZL36_9BACT	nitrite reductase	nitrite reductase
B6ZL37_9BACT	nitrite reductase	nitrite reductase
B6ZL38_9BACT	nitrite reductase	nitrite reductase
B6ZL39_9BACT	nitrite reductase	nitrite reductase
B6ZL40_9BACT	nitrite reductase	nitrite reductase
B6ZL41_9BACT	nitrite reductase	nitrite reductase
B6ZL42_9BACT	nitrite reductase	nitrite reductase
B6ZL43_9BACT	nitrite reductase	nitrite reductase
B6ZL44_9BACT	nitrite reductase	nitrite reductase
B6ZL45_9BACT	nitrite reductase	nitrite reductase
B6ZL46_9BACT	nitrite reductase	nitrite reductase
B6ZL47_9BACT	nitrite reductase	nitrite reductase
B6ZL48_9BACT	nitrite reductase	nitrite reductase
B6ZL49_9BACT	nitrite reductase	nitrite reductase
B6ZL50_9BACT	nitrite reductase	nitrite reductase
B6ZL51_9BACT	nitrite reductase	nitrite reductase
B6ZL52_9BACT	nitrite reductase	nitrite reductase
B6ZL53_9BACT	nitrite reductase	nitrite reductase
B6ZL54_9BACT	nitrite reductase	nitrite reductase
B6ZL55_9BACT	nitrite reductase	nitrite reductase
B6ZL56_9BACT	nitrite reductase	nitrite reductase
B6ZL57_9BACT	nitrite reductase	nitrite reductase
B6ZL58_9BACT	nitrite reductase	nitrite reductase
B6ZL59_9BACT	nitrite reductase	nitrite reductase
B6ZL60_9BACT	nitrite reductase	nitrite reductase
B6ZL61_9BACT	nitrite reductase	nitrite reductase
B6ZL62_9BACT	nitrite reductase	nitrite reductase
B6ZL63_9BACT	nitrite reductase	nitrite reductase
B6ZL64_9BACT	nitrite reductase	nitrite reductase
B6ZL65_9BACT	nitrite reductase	nitrite reductase
B6ZL66_9BACT	nitrite reductase	nitrite reductase
B6ZL68_9BACT	nitrite reductase	nitrite reductase
B6ZL69_9BACT	nitrite reductase	nitrite reductase
B6ZL70_9BACT	nitrite reductase	nitrite reductase
B6ZL71_9BACT	nitrite reductase	nitrite reductase
B6ZL72_9BACT	nitrite reductase	nitrite reductase
B6ZL73_9BACT	nitrite reductase	nitrite reductase
B6ZL74_9BACT	nitrite reductase	nitrite reductase
B6ZL75_9BACT	nitrite reductase	nitrite reductase
B6ZL76_9BACT	nitrite reductase	nitrite reductase
B6ZL77_9BACT	nitrite reductase	nitrite reductase
B6ZL78_9BACT	nitrite reductase	nitrite reductase
B6ZL79_9BACT	nitrite reductase	nitrite reductase
B6ZL80_9BACT	nitrite reductase	nitrite reductase
B6ZL81_9BACT	nitrite reductase	nitrite reductase
B6ZL83_9BACT	nitrite reductase	nitrite reductase
B6ZL84_9BACT	nitrite reductase	nitrite reductase
B6ZL85_9BACT	nitrite reductase	nitrite reductase
B7CH66_BURPE	Nitrite reductase [NAD(P)H	\bnitrite reductase[^a-z]+nad[^a-z]*P[^a-z]*H
B7CJH7_BURPE	Nitrite reductase [NAD(P)H	\bnitrite reductase[^a-z]+nad[^a-z]*P[^a-z]*H
B7CJH8_BURPE	Nitrite reductase [NAD(P)H	\bnitrite reductase[^a-z]+nad[^a-z]*P[^a-z]*H
B7CYT2_BURPE	nitrite reductase	nitrite reductase
B7RK68_9RHOB	Nitrite reductase (NAD(P)H	\bnitrite reductase[^a-z]+nad[^a-z]*P[^a-z]*H
B7RK69_9RHOB	Nitrite reductase (NAD(P)H	\bnitrite reductase[^a-z]+nad[^a-z]*P[^a-z]*H
B7SFD6_9BACT	nitrite reductase	nitrite reductase
B7SFD7_9BACT	nitrite reductase	nitrite reductase
B7SFD8_9BACT	nitrite reductase	nitrite reductase
B7SFE0_9BACT	nitrite reductase	nitrite reductase
B7SFE1_9BACT	nitrite reductase	nitrite reductase
B7SFE2_9BACT	nitrite reductase	nitrite reductase
B7SFE3_9BACT	nitrite reductase	nitrite reductase
B7SFE4_9BACT	nitrite reductase	nitrite reductase
B7SFE5_9BACT	nitrite reductase	nitrite reductase
B7SFE6_9BACT	nitrite reductase	nitrite reductase
B7SFE7_9BACT	nitrite reductase	nitrite reductase
B7SFE8_9BACT	nitrite reductase	nitrite reductase
B7SFE9_9BACT	nitrite reductase	nitrite reductase
B7SFF0_9BACT	nitrite reductase	nitrite reductase
B7SFF1_9BACT	nitrite reductase	nitrite reductase
B7SFF2_9BACT	nitrite reductase	nitrite reductase
B7SFF3_9BACT	nitrite reductase	nitrite reductase
B7SFF4_9BACT	nitrite reductase	nitrite reductase
B7SFF5_9BACT	nitrite reductase	nitrite reductase
B7SFF6_9BACT	nitrite reductase	nitrite reductase
B7VEK0_9BACT	nitrite reductase	nitrite reductase
B7WW43_COMTE	Nitrite reductase (NAD(P)H	\bnitrite reductase[^a-z]+nad[^a-z]*P[^a-z]*H
B7WW44_COMTE	Nitrite reductase (NAD(P)H	\bnitrite reductase[^a-z]+nad[^a-z]*P[^a-z]*H
B7ZET6_9RHIZ	nitrite reductase	nitrite reductase
B7ZET8_9RHIZ	nitrite reductase	nitrite reductase
B8K6T5_9VIBR	Nitrite reductase (NAD(P)H	\bnitrite reductase[^a-z]+nad[^a-z]*P[^a-z]*H
B8K6T6_9VIBR	Nitrite reductase (NAD(P)H	\bnitrite reductase[^a-z]+nad[^a-z]*P[^a-z]*H
B8K7T8_9VIBR	nitrite reductase	nitrite reductase
B8K7T9_9VIBR	nitrite reductase	nitrite reductase
B8K7U0_9VIBR	nitrite reductase	nitrite reductase
B8K7U1_9VIBR	nitrite reductase	nitrite reductase
B8KAR5_9VIBR	Nitrite reductase (NAD(P)H	\bnitrite reductase[^a-z]+nad[^a-z]*P[^a-z]*H
B8KAR6_9VIBR	Nitrite reductase (NAD(P)H	\bnitrite reductase[^a-z]+nad[^a-z]*P[^a-z]*H
B8R8P1_9BACT	NirS	\bNirS\b
B8R8P5_9BACT	nitrite reductase [NAD(P)H	\bnitrite reductase[^a-z]+nad[^a-z]*P[^a-z]*H
B8R8T1_9BACT	nitrite reductase	nitrite reductase
B8R8T2_9BACT	NirK	\bNirK\b
B8R8W6_9BACT	nitrite reductase	nitrite reductase
B8R8W7_9BACT	NirK	\bNirK\b
B8R8Z6_9BACT	NirK	\bNirK\b
B8R909_9BACT	NirS	\bNirS\b
B8R911_9BACT	nitrite reductase	nitrite reductase
B8R915_9BACT	NirS	\bNirS\b
B8R918_9BACT	nitrite reductase [NAD(P)H	\bnitrite reductase[^a-z]+nad[^a-z]*P[^a-z]*H
B8R956_9BACT	NirK	\bNirK\b
B8R969_9BACT	NirS	\bNirS\b
B8R973_9BACT	nitrite reductase [NAD(P)H	\bnitrite reductase[^a-z]+nad[^a-z]*P[^a-z]*H
B8R975_9BACT	NirS	\bNirS\b
B8R979_9BACT	nitrite reductase	nitrite reductase
B8X3I1_9BACT	Nitrite reductase	nitrite reductase
B8X3I2_9BACT	Nitrite reductase	nitrite reductase
B8X3I3_9BACT	Nitrite reductase	nitrite reductase
B8X3I4_9BACT	Nitrite reductase	nitrite reductase
B8X3I6_9BACT	Nitrite reductase	nitrite reductase
B8X3I8_9BACT	Nitrite reductase	nitrite reductase
B8X3I9_9BACT	Nitrite reductase	nitrite reductase
B8X3J1_9BACT	Nitrite reductase	nitrite reductase
B8X3J2_9BACT	Nitrite reductase	nitrite reductase
B8X3J5_9BACT	Nitrite reductase	nitrite reductase
B8X3J6_9BACT	Nitrite reductase	nitrite reductase
B8X3J8_9BACT	Nitrite reductase	nitrite reductase
B8X3K0_9BACT	Nitrite reductase	nitrite reductase
B8X3K2_9BACT	Nitrite reductase	nitrite reductase
B8YCW5_9BACT	AmoA; Flags: Fragment; Accession=B8YCW5; [uncultured ammonia-oxidizing	\bamoA\b.+oxidizing\b
B9B018_9BURK	Nitrite reductase [NAD(P)H	\bnitrite reductase[^a-z]+nad[^a-z]*P[^a-z]*H
B9BI24_9BURK	Nitrite reductase [NAD(P)H	\bnitrite reductase[^a-z]+nad[^a-z]*P[^a-z]*H
B9BI25_9BURK	Nitrite reductase [NAD(P)H	\bnitrite reductase[^a-z]+nad[^a-z]*P[^a-z]*H
B9CPU7_STACP	Nitrite reductase [NAD(P)H	\bnitrite reductase[^a-z]+nad[^a-z]*P[^a-z]*H
B9CPU8_STACP	Nitrite reductase [NAD(P)H	\bnitrite reductase[^a-z]+nad[^a-z]*P[^a-z]*H
B9CWI2_9PAST	nitrite reductase	nitrite reductase
B9CYT4_CAMRE	nitrite reductase	nitrite reductase
B9D5M2_CAMRE	Nitrite reductase	nitrite reductase
B9MSW1_9BURK	nitrite reductase	nitrite reductase
B9MSW2_9BURK	nitrite reductase	nitrite reductase
B9NVE1_9RHOB	nitrite reductase	nitrite reductase
B9R1V9_9RHOB	Nitrite reductase (NAD(P)H	\bnitrite reductase[^a-z]+nad[^a-z]*P[^a-z]*H
B9R1W0_9RHOB	Nitrite reductase (NAD(P)H	\bnitrite reductase[^a-z]+nad[^a-z]*P[^a-z]*H
B9V3A1_MASLA	nitrite reductase	nitrite reductase
B9V3B3_MASLA	nitrite reductase	nitrite reductase
B9V8S3_9BACT	Hydroxylamine oxidoreductase	hydroxylamine oxidoreductase
B9V8S4_9BACT	Hydroxylamine oxidoreductase	hydroxylamine oxidoreductase
B9V8S5_9BACT	Hydroxylamine oxidoreductase	hydroxylamine oxidoreductase
B9V8S6_9BACT	Hydroxylamine oxidoreductase	hydroxylamine oxidoreductase
B9V8S7_9BACT	Hydroxylamine oxidoreductase	hydroxylamine oxidoreductase
B9V8S8_9BACT	Hydroxylamine oxidoreductase	hydroxylamine oxidoreductase
B9V8S9_9BACT	Hydroxylamine oxidoreductase	hydroxylamine oxidoreductase
B9V8T0_9BACT	Hydroxylamine oxidoreductase	hydroxylamine oxidoreductase
B9V8T1_9BACT	Hydroxylamine oxidoreductase	hydroxylamine oxidoreductase
B9V8T2_9BACT	Hydroxylamine oxidoreductase	hydroxylamine oxidoreductase
B9V8T3_9BACT	Hydroxylamine oxidoreductase	hydroxylamine oxidoreductase
B9V8T4_9BACT	Hydroxylamine oxidoreductase	hydroxylamine oxidoreductase
B9V8T5_9BACT	Hydroxylamine oxidoreductase	hydroxylamine oxidoreductase
B9V8T6_9BACT	Hydroxylamine oxidoreductase	hydroxylamine oxidoreductase
B9V8T7_9BACT	Hydroxylamine oxidoreductase	hydroxylamine oxidoreductase
B9V8T8_9BACT	Hydroxylamine oxidoreductase	hydroxylamine oxidoreductase
B9V8T9_9BACT	Hydroxylamine oxidoreductase	hydroxylamine oxidoreductase
B9V8U0_9BACT	Hydroxylamine oxidoreductase	hydroxylamine oxidoreductase
B9V8U1_9BACT	Hydroxylamine oxidoreductase	hydroxylamine oxidoreductase
B9V8U2_9BACT	Hydroxylamine oxidoreductase	hydroxylamine oxidoreductase
B9V8U3_9BACT	Hydroxylamine oxidoreductase	hydroxylamine oxidoreductase
B9V8U4_9BACT	Hydroxylamine oxidoreductase	hydroxylamine oxidoreductase
B9V8U5_9BACT	Hydroxylamine oxidoreductase	hydroxylamine oxidoreductase
B9V8U6_9BACT	Hydroxylamine oxidoreductase	hydroxylamine oxidoreductase
B9V8U7_9BACT	Hydroxylamine oxidoreductase	hydroxylamine oxidoreductase
B9V8U8_9BACT	Hydroxylamine oxidoreductase	hydroxylamine oxidoreductase
B9V8U9_9BACT	Hydroxylamine oxidoreductase	hydroxylamine oxidoreductase
B9V8V0_9BACT	Hydroxylamine oxidoreductase	hydroxylamine oxidoreductase
B9V8V1_9BACT	Hydroxylamine oxidoreductase	hydroxylamine oxidoreductase
B9V8V2_9BACT	Hydroxylamine oxidoreductase	hydroxylamine oxidoreductase
B9V8V4_9BACT	Hydroxylamine oxidoreductase	hydroxylamine oxidoreductase
B9V8V5_9BACT	Hydroxylamine oxidoreductase	hydroxylamine oxidoreductase
B9V8V6_9BACT	Hydroxylamine oxidoreductase	hydroxylamine oxidoreductase
B9V8V7_9BACT	Hydroxylamine oxidoreductase	hydroxylamine oxidoreductase
B9V8V8_9BACT	Hydroxylamine oxidoreductase	hydroxylamine oxidoreductase
B9V8V9_9BACT	Hydroxylamine oxidoreductase	hydroxylamine oxidoreductase
B9V8W0_9BACT	Hydroxylamine oxidoreductase	hydroxylamine oxidoreductase
B9V8W1_9BACT	Hydroxylamine oxidoreductase	hydroxylamine oxidoreductase
B9V8W2_9BACT	Hydroxylamine oxidoreductase	hydroxylamine oxidoreductase
B9V8W3_9BACT	Hydroxylamine oxidoreductase	hydroxylamine oxidoreductase
B9V8W4_9BACT	Hydroxylamine oxidoreductase	hydroxylamine oxidoreductase
B9V8W5_9BACT	Hydroxylamine oxidoreductase	hydroxylamine oxidoreductase
B9V8W6_9BACT	Hydroxylamine oxidoreductase	hydroxylamine oxidoreductase
B9V8W7_9BACT	Hydroxylamine oxidoreductase	hydroxylamine oxidoreductase
B9V8W8_9BACT	Hydroxylamine oxidoreductase	hydroxylamine oxidoreductase
B9V8W9_9BACT	Hydroxylamine oxidoreductase	hydroxylamine oxidoreductase
B9V8X0_9BACT	Hydroxylamine oxidoreductase	hydroxylamine oxidoreductase
B9V8X1_9BACT	Hydroxylamine oxidoreductase	hydroxylamine oxidoreductase
B9V8X2_9BACT	Hydroxylamine oxidoreductase	hydroxylamine oxidoreductase
B9V8X3_9BACT	Hydroxylamine oxidoreductase	hydroxylamine oxidoreductase
B9V8X4_9BACT	Hydroxylamine oxidoreductase	hydroxylamine oxidoreductase
B9V8X5_9BACT	Hydroxylamine oxidoreductase	hydroxylamine oxidoreductase
B9V8X6_9BACT	Hydroxylamine oxidoreductase	hydroxylamine oxidoreductase
B9V8X7_9BACT	Hydroxylamine oxidoreductase	hydroxylamine oxidoreductase
B9V8X8_9BACT	Hydroxylamine oxidoreductase	hydroxylamine oxidoreductase
B9V8X9_9BACT	Hydroxylamine oxidoreductase	hydroxylamine oxidoreductase
B9V8Y0_9BACT	Hydroxylamine oxidoreductase	hydroxylamine oxidoreductase
B9V8Y1_9BACT	Hydroxylamine oxidoreductase	hydroxylamine oxidoreductase
B9V8Y2_9BACT	Hydroxylamine oxidoreductase	hydroxylamine oxidoreductase
B9V8Y3_9BACT	Hydroxylamine oxidoreductase	hydroxylamine oxidoreductase
B9V8Y4_9BACT	Hydroxylamine oxidoreductase	hydroxylamine oxidoreductase
B9V8Y5_9BACT	Hydroxylamine oxidoreductase	hydroxylamine oxidoreductase
B9V8Y6_9BACT	Hydroxylamine oxidoreductase	hydroxylamine oxidoreductase
B9V8Y7_9BACT	Hydroxylamine oxidoreductase	hydroxylamine oxidoreductase
B9V8Y8_9BACT	Hydroxylamine oxidoreductase	hydroxylamine oxidoreductase
B9V8Y9_9BACT	Hydroxylamine oxidoreductase	hydroxylamine oxidoreductase
B9V8Z0_9BACT	Hydroxylamine oxidoreductase	hydroxylamine oxidoreductase
B9V8Z1_9BACT	Hydroxylamine oxidoreductase	hydroxylamine oxidoreductase
B9V8Z2_9BACT	Hydroxylamine oxidoreductase	hydroxylamine oxidoreductase
B9V8Z3_9BACT	Hydroxylamine oxidoreductase	hydroxylamine oxidoreductase
B9V8Z4_9BACT	Hydroxylamine oxidoreductase	hydroxylamine oxidoreductase
B9V8Z5_9BACT	Hydroxylamine oxidoreductase	hydroxylamine oxidoreductase
B9V8Z6_9BACT	Hydroxylamine oxidoreductase	hydroxylamine oxidoreductase
B9V8Z7_9BACT	Hydroxylamine oxidoreductase	hydroxylamine oxidoreductase
B9V8Z8_9BACT	Hydroxylamine oxidoreductase	hydroxylamine oxidoreductase
B9V8Z9_9BACT	Hydroxylamine oxidoreductase	hydroxylamine oxidoreductase
B9V900_9BACT	Hydroxylamine oxidoreductase	hydroxylamine oxidoreductase
B9V901_9BACT	Hydroxylamine oxidoreductase	hydroxylamine oxidoreductase
B9V902_9BACT	Hydroxylamine oxidoreductase	hydroxylamine oxidoreductase
B9V903_9BACT	Hydroxylamine oxidoreductase	hydroxylamine oxidoreductase
B9V904_9BACT	Hydroxylamine oxidoreductase	hydroxylamine oxidoreductase
B9V905_9BACT	Hydroxylamine oxidoreductase	hydroxylamine oxidoreductase
B9V906_9BACT	Hydroxylamine oxidoreductase	hydroxylamine oxidoreductase
B9V907_9BACT	Hydroxylamine oxidoreductase	hydroxylamine oxidoreductase
B9V908_9BACT	Hydroxylamine oxidoreductase	hydroxylamine oxidoreductase
B9V909_9BACT	Hydroxylamine oxidoreductase	hydroxylamine oxidoreductase
B9V910_9BACT	Hydroxylamine oxidoreductase	hydroxylamine oxidoreductase
B9V911_9BACT	Hydroxylamine oxidoreductase	hydroxylamine oxidoreductase
B9V912_9BACT	Hydroxylamine oxidoreductase	hydroxylamine oxidoreductase
