Protein	FilterMatch	RegEx
F0T9U6_METSL	Nitrite reductase (NAD(P)H	\bnitrite reductase[^a-z]+nad[^a-z]*P[^a-z]*H
F2KMT4_ARCVS	Nitrite reductase (NAD(P)H	\bnitrite reductase[^a-z]+nad[^a-z]*P[^a-z]*H
F2KR31_ARCVS	Nitrite reductase (NAD(P)H	\bnitrite reductase[^a-z]+nad[^a-z]*P[^a-z]*H
F3KKI8_9ARCH	NirK	\bNirK\b
F4FY19_METCR	nitrite reductase	nitrite reductase
F6D5T7_METSW	Nitrite reductase (NAD(P)H	\bnitrite reductase[^a-z]+nad[^a-z]*P[^a-z]*H
F7PK33_9EURY	nitrite reductase	nitrite reductase
F8AL22_METOI	nitrite reductase	nitrite reductase
F8D3G0_HALXS	nitrite reductase	nitrite reductase
F8D7G8_HALXS	Nitrite reductase	nitrite reductase
F8DBV9_HALXS	nitrite reductase	nitrite reductase
F8DC22_HALXS	Nitrite reductase	nitrite reductase
G0HQX1_HALHT	nitrite reductase	nitrite reductase
G0HRP8_HALHT	nitrite reductase	nitrite reductase
G0HU59_HALHT	nitrite reductase	nitrite reductase
G0LG96_HALWC	nitrite reductase	nitrite reductase
G0LIP6_HALWC	Nitrite reductase	nitrite reductase
G7VI85_9CREN	Nitrite reductase	nitrite reductase
H6Q9E8_PYROT	nitrite reductase	nitrite reductase
H6Q9G1_PYROT	nitrite reductase	nitrite reductase
H6Q9G2_PYROT	nitrite reductase	nitrite reductase
H6Q9G4_PYROT	nitrite reductase	nitrite reductase
H6QAG8_PYROT	nitrite reductase	nitrite reductase
H6QAH4_PYROT	nitrite reductase	nitrite reductase
H6QAJ2_PYROT	nitrite reductase	nitrite reductase
H6QBG2_PYROT	nitrite reductase	nitrite reductase
H6QBH1_PYROT	nitrite reductase	nitrite reductase
I3R5V5_HALMT	nitrite reductase	nitrite reductase
I3R637_HALMT	nitrite reductase	nitrite reductase
I3R6L2_HALMT	Nitrite reductase	nitrite reductase
I3R6M2_HALMT	Nitrite reductase	nitrite reductase
I3RA07_HALMT	Nitrite reductase	nitrite reductase
I3RBI8_HALMT	nitrite reductase	nitrite reductase
I6U7J9_9EURY	nitrite reductase	nitrite reductase
I7BXI5_NATSJ	Nitrite reductase	nitrite reductase
I7BZ47_NATSJ	Nitrite reductase	nitrite reductase
K0ID13_NITGG	nitrite reductase	nitrite reductase
K0IEZ7_NITGG	nitrite reductase	nitrite reductase
K0II05_NITGG	nitrite reductase	nitrite reductase
L0A9Q2_CALLD	nitrite reductase	nitrite reductase
L0AD59_NATGS	nitrite reductase	nitrite reductase
L0AE28_NATGS	nitrite reductase	nitrite reductase
L0AEE6_NATGS	nitrite reductase	nitrite reductase
L0AJ29_NATGS	nitrite reductase	nitrite reductase
L0AJS4_NATGS	nitrite reductase	nitrite reductase
L0HHN1_METFS	nitrite reductase	nitrite reductase
L0HLD1_ACIS0	nitrite reductase	nitrite reductase
L0HP78_ACIS0	nitrite reductase	nitrite reductase
L0IBG7_HALRX	nitrite reductase	nitrite reductase
L0IF21_HALRX	nitrite reductase	nitrite reductase
L0IGM1_HALRX	nitrite reductase	nitrite reductase
L0IGW4_HALRX	Nitrite reductase	nitrite reductase
L0JG14_NATP1	nitrite reductase	nitrite reductase
L0JG94_NATP1	Nitrite reductase	nitrite reductase
L0JIX6_NATP1	nitrite reductase	nitrite reductase
L0JJY4_NATP1	nitrite reductase	nitrite reductase
L0JNE4_NATP1	nitrite reductase	nitrite reductase
L0JNK4_NATP1	Nitrite reductase	nitrite reductase
L0KT24_METHD	nitrite reductase	nitrite reductase
L0KTY8_METHD	nitrite reductase	nitrite reductase
L0KVY9_METHD	nitrite reductase	nitrite reductase
L0KW74_METHD	nitrite reductase	nitrite reductase
M1XKP3_NATM8	nitrite reductase	nitrite reductase
M4YUN8_9EURY	nitrite reductase	nitrite reductase
M9UCC6_SULIS	nitrite reductase	nitrite reductase
M9UGD1_SULIS	nitrite reductase	nitrite reductase
